812,812
761,51,761,51,-1
786,26,735,26,-1
799,13,722,13,-1
799,13,710,12,-1
786,13,722,13,-1
786,13,710,12,-1
761,25,735,26,-1
773,13,722,13,-1
773,13,710,12,-1
761,12,722,13,-1
761,12,710,12,-1
735,26,786,26,-1
735,26,761,25,-1
722,13,799,13,-1
710,12,799,13,-1
722,13,786,13,-1
710,12,786,13,-1
722,13,773,13,-1
722,13,761,12,-1
710,12,773,13,-1
710,12,761,12,-1
710,51,710,51,-1
799,13,697,13,-1
799,13,684,13,-1
786,13,697,13,-1
786,13,684,13,-1
799,13,659,25,-1
786,13,659,25,-1
761,25,684,26,-1
773,13,671,13,-1
773,13,659,12,-1
761,12,671,13,-1
761,12,659,12,-1
799,13,634,25,-1
786,13,646,13,-1
786,13,634,12,-1
799,13,609,25,-1
786,13,609,25,-1
773,13,646,13,-1
773,13,634,12,-1
761,12,646,13,-1
761,12,634,12,-1
773,13,621,13,-1
773,13,609,12,-1
761,12,621,13,-1
761,12,609,12,-1
748,13,697,13,-1
748,13,684,13,-1
735,13,697,13,-1
735,13,684,13,-1
748,13,659,25,-1
735,13,671,13,-1
735,13,659,12,-1
722,13,697,13,-1
710,12,697,13,-1
710,25,684,13,-1
722,13,671,13,-1
722,13,659,12,-1
710,12,671,13,-1
710,12,659,12,-1
748,13,646,13,-1
748,13,634,12,-1
735,13,646,13,-1
735,13,634,12,-1
748,13,621,13,-1
748,13,609,12,-1
735,13,609,25,-1
722,13,646,13,-1
722,13,634,12,-1
710,12,646,13,-1
710,12,634,12,-1
710,25,609,25,-1
697,13,799,13,-1
697,13,786,13,-1
684,13,799,13,-1
684,13,786,13,-1
684,26,761,25,-1
659,25,799,13,-1
659,25,786,13,-1
671,13,773,13,-1
671,13,761,12,-1
659,12,773,13,-1
659,12,761,12,-1
634,25,799,13,-1
646,13,786,13,-1
634,12,786,13,-1
609,25,799,13,-1
609,25,786,13,-1
646,13,773,13,-1
646,13,761,12,-1
634,12,773,13,-1
634,12,761,12,-1
621,13,773,13,-1
621,13,761,12,-1
609,12,773,13,-1
609,12,761,12,-1
697,13,748,13,-1
697,13,735,13,-1
684,13,748,13,-1
684,13,735,13,-1
697,13,722,13,-1
697,13,710,12,-1
684,13,710,25,-1
659,25,748,13,-1
671,13,735,13,-1
659,12,735,13,-1
671,13,722,13,-1
671,13,710,12,-1
659,12,722,13,-1
659,12,710,12,-1
646,13,748,13,-1
634,12,748,13,-1
646,13,735,13,-1
634,12,735,13,-1
621,13,748,13,-1
609,12,748,13,-1
609,25,735,13,-1
646,13,722,13,-1
646,13,710,12,-1
634,12,722,13,-1
634,12,710,12,-1
609,25,710,25,-1
659,51,659,51,-1
684,26,634,25,-1
697,13,621,13,-1
697,13,609,12,-1
684,13,621,13,-1
684,13,609,12,-1
659,25,634,25,-1
671,13,621,13,-1
671,13,609,12,-1
659,12,621,13,-1
659,12,609,12,-1
634,25,684,26,-1
